순번,행정구역,지역본부_지사,업소명,우편,주소
177,경기 수원시 영통구,경기광역본부,(주)대원고속 광교CNG충전소,16511,경기도 수원시 영통구 광교호수로 252 CNG충전소
178,대구 달서구,대구광역본부,대성에너지(주)성서CNG충전소,42705,대구광역시 달서구 성서공단로 97
179,대구 달성군,대구광역본부,대성에너지(주)논공CNG충전소,42976,대구광역시 달성군 논공읍 약산덧재길 56
180,대구 북구,대구광역본부,대성에너지(주)관음CNG충전소,41448,대구광역시 북구 관음로 127
181,광주 광산구,광주광역본부,(주)해양에너지 광산 CNG충전소,62455,광주광역시 광산구 동곡로 324
182,대전 대덕구,대전광역본부,씨엔씨티에너지(주)(신대CNG충전소),34357,대전광역시 대덕구 신탄진로315번길 72 시내버스공영차고지내
183,서울 양천구,서울남부지사,(주)귀뚜라미에너지 양천CNG충전소,8056,서울특별시 양천구 신정로7길 17 양천공영차고지
184,서울 강서구,서울남부지사,김포교통(주),7508,서울특별시 강서구 금낭화로 170 김포교통주식회사
185,서울 성동구,서울동부지사,(주)예스코서비스 뚝섬 Clean Station,4767,서울특별시 성동구 광나루로 76
186,서울 노원구,서울동부지사,흥안에너지(주)CNG충전소,1691,서울특별시 노원구 노원로 487
187,서울 중랑구,서울동부지사,주식회사 예스코홀딩스 면목북부충전소,2254,"서울특별시 중랑구 면목로 230, 1층(면목동)"
188,서울 도봉구,서울동부지사,(주)대륜이엔에스도봉공영CNG충전소,,서울특별시 도봉구 도봉로 961 도봉권역공영차고지
189,부산 북구,부산북부지사,구포CNG충전소,46627,부산광역시 북구 시랑로185번길 66
190,부산 연제구,부산북부지사,(주)삼동에너지,47568,부산광역시 연제구 좌수영로 300 (연산동)
191,경기 시흥시,경기서부지사,재연(주) CNG충전소,15082,경기도 시흥시 희망공원로 278
192,인천 서구,인천본부,매립지충전소관리 주식회사,,인천광역시 서구 거월로 61
193,인천 중구,인천본부,인천그린에너지(주) 신흥동CNG충전소,22341,인천광역시 중구 축항대로290번길 124
194,경기 성남시 분당구,경기동부지사,에코플러스(주),13636,경기도 성남시 분당구 탄천상로163번길 10
195,경기 성남시 수정구,경기동부지사,성남천연가스(주)사송동지점,13446,경기도 성남시 수정구 사송로 41
196,경기 광주시,경기동부지사,(주)대원고속 광주씨엔지충전소,12739,경기도 광주시 광주대로 171 (송정동)
197,경기 파주시,경기중부지사,신성문산CNG충전소(주),10813,경기도 파주시 문산읍 통일로 1699
198,경기 고양시 일산서구,경기중부지사,(주)오천고양지점 씨엔지충전소,10373,경기도 고양시 일산서구 경의로 772 
199,경기 양주시,경기중부지사,(주)양주씨엔지,11494,경기도 양주시 고삼로 17-22
200,충북 충주시,충북북부지사,(주)서진에너지-충주CNG충전소,380190,충청북도 충주시 벌터3길 12 (달천동)
